Structure [idcode]	CAS	pKa	pKa-type	pKa-temp	logP	logP-type	logP-temp	mp	vp	vp-type	vp-temp	wSol mg/l	wSol-temp	Molweight	
diDHhJCDSDsD{DGDrJPsRjZ`@	000079-49-2				2.000000000000000e+000	EST		79.5				1.000000000000000e-001	20	448	
e`\PM@@@BICGBamcgolbbbbTRbfbJbRTrakDebUTwUsTaTQPEPUTUD@@@	000522-12-3				4.300000000000000e-001	EST	25	170	1.340000000000000e-021	EST	25	6.400000000000000e+001	16	448	
ehRRF@@BF@l`AKIcolbbbfbRRefTVtTVfVxdt|JjvnZdJBX@```bj@@@@	003930-19-6				-5.600000000000001e-001	EST								448	
ehTVB@@HMCKGF`DMolbfbRbRVrbbQTRRRTxdJjV@Hnv@`jjjX@HKH	009004-57-3				5.500000000000000e+000	EXP		152	3.700000000000000e-013	EST	25	5.930000000000000e-004	25	448	
e`TPA@@@FIO@jfcdieeW]UUUVUqMEcgojB`hjjjjhH@`@@	014174-09-5				2.110000000000000e+000	EXP		103-105	1.110000000000000e-011	EST	25	1.865000000000000e+000	25	448	
e`\PM@@@AEHdjfikgolbbbbbbaJRfrfTTrW@fc`VRvsPSD@AQUUUUA@@@	020486-33-3				3.500000000000000e-001	EST						1.000000000000000e+002	18	448	
ehVPB@@@BfalbbRfbTJTtRfRfafRhXTt\|brZz~AZZjjjjjij@Bj`@@	024356-94-3				5.530000000000000e+000	EST		150.5						448	
ff}PSBM^HiNPXdlRlQz\}dTTVbTjbbTUXJIXHHf``X`@@	072699-09-3	4.109999999999999e+000	EST	25	5.050000000000000e+000	EXP			8.380000000000001e-013	EST	25	1.116000000000000e-001	25	448	
ehTVB@DHMCKGF`DMohIP{HihdhdelhhdUDddeNIBjf`BKm`HJjjf@BBr@	072828-64-9				5.500000000000000e+000	EXP			3.699999999999999e-013	EST	25	5.900000000000000e-004		448	
e`\PFH@AJfimk`ICHiEHhhhblXdicBeLiyiXyDdUUUUSMUSTuMUP@@	075883-07-7				3.060000000000000e+000	EXP			6.210000000000000e-014	EST	25	3.709000000000000e+000	25	448	
eodPJH@LJGJg`HcHeMHeHhhduEeiLmiCHlnackjZjjijjjjVZh@@	095796-50-2				3.340000000000000e+000	EXP			1.790000000000000e-013	EST	25	6.874000000000000e+000	25	448	
e`TVF@@DAKHni`NCAmclbbRtrbbtTTRReLraEAUSWSUSUMUMSMMUT@@@	130817-93-5				-8.000000000000000e-001	EXP			8.229999999999999e-020	EST	25	3.597000000000000e+002	25	448	
eh\TF@@H@`DDljflbfbRabbbbbTiVRbRxD\B~AV@Bifiijf@@`BBZ@	SRC002-47-6				4.260000000000000e+000	EXP								448	
e`PRF@@DJKB`COMgolbbTTRbbTUffRRtUgRsUUUMMAPTML@@@	SRC002-66-8				4.300000000000000e-001	EXP								448	
e`PRF@@DJCB`MGMgolbbTTRTRbafbQRtUgRsUUTtpUPTML@@@	SRC002-70-3				3.200000000000000e-001	EXP								448	
e`PRF@@DJCI`MGFnalbbTTRTRbfSbbb\RSwsUUTtuUSM@@@@@	SRC002-91-9				4.700000000000000e-001	EXP								448	
e`\XJ@@B@DFDolbfRfRbfdRbjRTfVwdQUPtussUMUUUUUUUUU@@@	000360-65-6				2.250000000000000e+000	EXP			8.359999999999999e-018	EST	25	2.700000000000000e+000	20	449	
e`\XJ@@B@DFFolbfRfRbfdRQfbrbVsdVUPtussUMUUUUUUUUU@@@	000640-79-9				2.120000000000000e+000	EXP			8.359999999999999e-018	EST	25	3.150000000000000e+000	20	449	
elUXL@@A@HklbbbbbbRTVtURTJTVRXTtBlR|rzVFfN^aQZ@H`JD@@Bf@H@@@@@	003271-76-9				8.480000000000000e+000	EST			1.000000000000000e-017	EXT	25	6.725000000000001e-006	25	449	
e`\XJ@@B@DFFolbfRfRbfdRQfbrbVsdVUPtussUMUUUUUUUUU@@@	013042-33-6				2.150000000000000e+000	EXP			8.359999999999999e-018	EST	25	2.821000000000000e+001	25	449	
eohZJH@LICFehDAAc`@cIIBhheehdddbihemKBjckejA`bjjjYib`@@	025046-79-1				2.500000000000000e+000	EST		189						449	
e`R\LD@KO@hDL@@bcPrRPjZIIYQQIIIZKKJZYEMSKGO_KTA@uPJE@HAD@PZP	037571-27-0				1.800000000000000e+000	EXP			9.170000000000003e-022	EST	25	3.384000000000000e+000	25	449	
eod\FH@FELmCKHfg`@cIEHhbeDimEHmULelFNIDlckjjjifijj`@j`@@	060903-21-1				3.000000000000000e-001	EXP			2.090000000000000e-015	EST	25	1.549000000000000e+002	25	449	
e`\XJ@@B@DFFolbfRfRbfdRQfbrbVsdVUPtussUMUUUUUUUUU@@@	064480-66-6				2.020000000000000e+000	EXP			8.359999999999999e-018	EST	25	1.350000000000000e+000	20	449	
eohXLB@DkGN`HbbPXdNICHheHiXcLheLeMhdaIFakgijjjfjpBH@H@HHH	068085-85-8				6.800000000000000e+000	EXP		< 25	7.500000000000001e-009	EXP	20	5.000000000000000e-003		449	
eohXLB@DkGN`HbbPXdNICHheHiXcLheLeMhdaIFakgijjjfjpBH@H@HHD	091465-08-6				7.000000000000000e+000	EXP		49.2	1.500000000000000e-009	EXP	25	8.532999999999999e-004	25	449	
eh\ZB@@DJMLi`ECAlbbTRRbbfLRbVbUfRbrzv~AZjjYi`jAh@B@@@	132766-16-6				9.900000000000000e-001	EXP			3.919999999999999e-021	EST	25	2.142000000000000e+002	25	449	
e`PXJ@@D@MKOFlbbbdTtLTrRvrVRRPVSUU@tQQUUUT@@@	150423-89-5				6.670000000000000e+000	EXP			5.990000000000000e-011	EST	25	3.015000000000000e-003	25	449	
e`\XFH@EaJfikg`ICHiEHhhhblXdicBeLiyiXyDdUUUUSMUSTuMUP@@	SRC002-96-7				1.690000000000000e+000	EXP								449	
ehTPD@@@KLbbbbbRRIbrTVRbrTXDT\ZAhJQjjjjjj@HGD	000084-80-0				1.171000000000000e+001	EST		-20						450	
e`TPA@@@LieckgolbbdRbfVfdTVUTRag@df`QSUUUUUSUSSMT@@@	000474-23-7				2.410000000000000e+000	EST						7.000000000000000e+002	23	450	
e`_`@@@DiUUUUUUUUUZjjjjjjjjjh@@	000544-85-4				1.606000000000000e+001	EST		69.7				8.285000000000000e-012	25	450	
eghPBD@LOEc`@cHHrQQPrIQSYKJYQJJJZVAIE]STuUSTuUUSUU@@@	002205-73-4				2.360000000000000e+000	EST		205.5						450	
eh\\FDDNCChDLKLg`@`GPpxF\ddlTVbTRtRbVRqR`dt|bzVfvV``bZ`P@@ib@@@	006424-85-7				-4.600000000000000e-001	EST	25		1.520000000000001e-024	EST	25	9.993000000000000e+000	25	450	
eohPLB@NOC`HajPzdAiCHhdleDeBdhhiDkdjFCKEmh@J@BjhJ`J`@@@	107713-58-6				8.080000000000000e+000	EST		< 25	9.750000000000001e-010	EXP	20	2.500000000000000e-003		450	
e`TRA@@I@de`DAELjmclbbRfbfbRbTRQRVfpfdRWRsUUUUPKPTSUP@@@	137057-42-2				2.750000000000000e+000	EXP			3.300000000000000e-012	EST	25	6.635000000000000e+000	25	450	
e`TRN@@EDbm`DIMJnclbbRbTTVbVbTRQrVTafQTvsUUUUU@mAEUP@@@	137057-57-9				3.830000000000000e+000	EXP			9.020000000000003e-016	EST	25	7.930000000000000e-001	25	450	
e`TRN@@MDbk`DECJnglbbTbebfbRbTRQdrZefQTusUUUUU@mATUP@@@	137057-62-6				3.610000000000000e+000	EXP			6.520000000000000e-015	EST	25	1.222000000000000e+000	25	450	
e`TRN@@EHla`DIMBiedfUef^~U]VYCDlfafjjjjhFBIjj`@@	137057-69-3				3.580000000000000e+000	EXP			1.240000000000000e-015	EST	25	1.296000000000000e+000	25	450	
e`TRN@@MHla`DECBielbbTbebffTRRrRftbebVSPsUUUUTCADuUP@@@	137057-71-7				3.400000000000000e+000	EXP			8.969999999999999e-015	EST	25	1.847000000000000e+000	25	450	
eh\TJ@@DJ`JDaelbbRRbbRRqRRRfRbRlB|b~AZj`@@Bjjj@@@@@	139733-95-2				3.200000000000000e+000	EXP			2.070000000000000e-017	EST	25	2.735000000000000e+000	25	450	
eohXNH@JHDLBG@d`@cIIBeIME\iiMEDdemKEkcgejjjjfj@@@H@@@	000545-80-2				8.800000000000000e-001	EST		154.5						451	
eod\HB@NJeg`@aJPrdBiCIEEEDdelliEXddljNIKMGEmj@H@`jjjjjhH@@	003833-99-6				4.630000000000000e+000	EST								451	
eo`^JH@LNEC@baoLnmc`@cIEDeDdeULeLeLeLaEMCJBHbjZfijZa@@@	023374-45-0				2.100000000000000e-001	EXP			4.059999999999999e-021	EST	25	4.725000000000000e+001	25	451	
egh\FD@NOBeGLnck`HbhHrJJIQYPjEQQYQZJLRJZIEMCPPLSSUMSULU@@@	055390-39-1				2.000000000000000e+000	EXP			6.299999999999998e-017	EST	25	2.840000000000000e+001	25	451	
eh\XBD@BlKGI`IABPrJYQIYQQSFISISZIHRPY[xFj@BijjpBH@@@@@	070124-77-5				6.200000000000000e+000	EXP		< 25	8.700000000000002e-009	EXP	25	6.000000000000000e-002	25	451	
ehZZJ@@DCDln`FMKgdfYeU{Ug^]UVPsRrHih[XyjjjhH@@`@jj@@@@	074191-85-8				2.090000000000000e+000	EST								451	
ehRXB@@E@DGFlbbtTRbbTrRrTnRbRdtL|Rj~AZ`Hbjjjjj@@h@@@	078513-74-3				5.720000000000000e+000	EXP			6.559999999999999e-014	EST	25	1.897000000000000e-002	25	451	
e`RPFD@AFnimo`IAJPrJQRJJJHkKQKSYSSJ^ZVNQYUSKUUUTsUUMTuUU@@@	000067-73-2				2.480000000000000e+000	EXP		265-266   	1.000000000000000e-013	EST	25	1.095000000000000e+001	25	452	
e`_`D@@@DDfuUUUUUUUUVjjjjjjjjjh@@	000506-50-3				1.384000000000000e+001	EST		93.6						452	
fjm@s@HHhpT`Cf@``QdbRdTaabRRp\iKUKK@@@@@@@	000515-72-0				3.030000000000000e+000	EST								452	
edZTD@@ON`DDfVeeuVefuWL|\BnA~aZjhJBJjl@@@`@@@	000915-30-0				6.340000000000000e+000	EST						8.000000000000000e+002	25	452	
fgwXd@HZ\elpHqrQoAcdm^cWl}|bfTTTRbRbRbLQabuUUURtllj`@@	015825-70-4				2.540000000000000e+000	EST		107						452	
egdZFD@LBMJfcLieck`@c[prQQJIQJIIIQQGUZLBA]QUIEK[TuTAPATQULAP@@	032487-38-0				-1.150000000000000e+000	EXP			6.060000000000000e-011	EST	25	6.863000000000000e+002	25	452	
ek`VBL@LABjaimGO@`@bpHZBLdTRbRRRfbjbbRVHxhXFfVvjjjffZiejid@@	032924-66-6				0.000000000000000e+000	EXP			2.540000000000000e-017	EST	25	7.034999999999998e+001	25	452	
e`TPBH@HDLB@OCIILdhhhdddmlTddexUEUdtuU@@@@@UUU@@@@	064532-97-4				9.180000000000000e+000	EST			1.900000000000000e-008	EXP	25	7.700000000000000e-001	25	452	
e`TRAH@GO@hhLNIFaim`MAI[fYWnUVVW]PsKjiZfBHb@@BJJj@@@@	125401-92-5				-1.030000000000000e+000	EXP								452	
ehZRF@@FALe`KGBnilbbbbfbrbVVrTTqbRxdTL|BBr~AZZZjZjjfZ@Bj@@@	SRC001-13-3				1.150000000000000e+000	EXP								452	
fkoQQ@BNyHr^`b@aFQQSJJISQSJIHjiVcfmUUMUUUUUUP@@	SRC002-27-9				3.210000000000000e+000	EXP								452	
fmk@z@HHirVk^cfoYkA\IRlw]w]w]}TsUUUUUU@@@	000527-09-3				-7.510000000000000e+000	EST						3.000000000000000e+005	25	453	
e`TXFL@FJLfick`IABPpdLbdLrbbTRRTRfRRNU`RQWRuTuSULMDRUTP@@@	071324-48-6				2.080000000000000e+000	EXP								453	
fgopj@LDDsagQSTZs`bLbRbTJbbbTRTrbzghuTmUUUTtuM@@@	074751-37-4				6.700000000000000e-001	EXP			1.330000000000000e-010	EST	25	3.774000000000000e+002	25	453	
eg`ZND@LADjmmGO@bck`@bXHrQQJIIIJZNIQIIZD\TLCSUUUSKLuLuMLAAD`	079350-37-1				1.200000000000000e-001	EST								453	
eh\\J@@BNB`ODcolbbfTQbRrRfRRbRfVXxl\vnZej@Bjjh@bj@@@	102152-21-6				2.140000000000000e+000	EXP			6.370000000000001e-019	EST	25	2.144000000000000e+002	25	453	
e`TXFL@FJLfamk`IABPpdLbdLrbbTRRTRaRRVu`RQWTuTuTttSDQUTH@@@	SRC003-32-0				1.720000000000000e+000	EXP								453	
ehTZB@@HDFLn`JFalbTTLRTRRVtRbfJbR|b~AZfj``bjYj@@@@@	SRC003-49-9				2.120000000000000e+000	EXP								453	
ehTTB@@GL`JColdTtRRLbTURbrbRfVxdvnhHHjnjjh@bh@@@	000052-53-9	8.920000000000000e+000	EXP		3.790000000000000e+000	EXP		< 25	2.790000000000000e-011	EST	25	4.471000000000001e+000	25	454	
e`\PFH@HLNAMO`MCHeLeLeMEHdcLeIemxdUTMM\}STuMUUUUUTuP@@	000053-10-1				-5.600000000000001e-001	EST		201 dec						454	
eh\QJ@@D@fickg`PMCHdlbbTTRTRjTTNbRfTQT\fVn~Z`hFbfj@@BH@@@	000059-05-2	4.700000000000000e+000	EXP		-1.850000000000000e+000	EXP			2.090000000000000e-019	EST	25	2.600000000000000e+003	25	454	
fc@P`CVWlDPRHYDBbLbbbffrbabbRRvWIZmT_YpQDTu@@@ED@@@	000639-44-1				5.640000000000000e+000	EST								454	
eolPNH@HDLBLkg`@cIIChdiheBeHXdXdiEGODbfackejjjjjjjijZj@@@	002488-78-0				-1.400000000000000e-001	EXP			4.810000000000000e-017	EST	25	2.107000000000000e+003	25	454	
eolPNH@HDLBLkg`@cIIChdiheBeHXdXdiEGODbfackejjjjjjjijZj@@@	002488-80-4				-2.100000000000000e-001	EXP			4.810000000000000e-017	EST	25	2.107000000000000e+003	25	454	
eolPJD@LJCBg`HbjPrISRIRJJI^IQFSKXPrRrIKhXzzfjjjjjjjffjbBJNJIBDb@@	003093-35-4				2.930000000000000e+000	EST		264 dec						454	
egh\JL@I@jmOBck`HcbPZBLbbbTTjfTJbbrRbc@fafUWPtADMUMTuUSCP@@	005250-39-5				2.580000000000000e+000	EXP			1.670000000000000e-015	EST	25	8.819000000000003e+000	25	454	
e`_bB@@DKHk`@dodfUUUUYoUUUvjjjjfZjjjd@@	005834-63-9				1.630000000000000e+000	EST						7.000000000000000e+002	20	454	
eohPAH@LICGHfam`HcHeIheHhidllhheXUKMOBjjjjjjjjfYVf`HMd	020501-52-4				1.420000000000000e+000	EXP			1.750000000000000e-014	EST	25	8.502000000000001e+001	25	454	
eohRE@@AMHa`LEGOBfekgldTTRbRfLTrafRfrhdRjfvjjjjjjjjjjj@@@	025546-65-0	7.700000000000000e+000	EXP		-8.050000000000001e+000	EST		193.5						454	
ek`QBL@LALjfiemmGO@`@bpHJBLdTRbRRRfbjbbRRHxhXFfVvjjjffZijeiX@@	025953-19-9				-5.800000000000000e-001	EXP			1.500000000000000e-018	EST	25	2.138000000000000e+002	25	454	
e`\TFH@FEMCKOJf`@cIEHhbeDkMEEDlmLe`qqHLl}}UUULsTCA@@T@@@	038212-89-4				3.140000000000000e+000	EXP			5.270000000000000e-016	EST	25	2.905000000000000e+000	25	454	
eodTHJ@Fmg`@arPrdBiBjPrQQQQIIIGIRJqIYJ`RPsSq[Z`@`BbjjjjjB@@@	055837-23-5				4.470000000000000e+000	EXP			1.980000000000000e-012	EST	25	1.680000000000000e-001	25	454	
fkPS@BVLFMPQBhcPQdTTRbRetTJbbRfcI]fM\DEEMSPPQTD@@	086570-05-0				4.900000000000000e+000	EXP			1.849999999999999e-011	EST	25	9.010000000000000e-002	25	454	
e`TTBH@BeaEHf`HcHhdldihhdlhhhmJePpLl}}@ATuUURuP@B@@@	092598-90-8				4.900000000000000e+000	EXP			1.360000000000000e-011	EST	25	9.063000000000002e-002	25	454	
e`TTBH@BiaIHd`HcHhdihThheDimDkDeQquL}}@DMUUMSUP@B@@@	092622-09-8				5.080000000000000e+000	EXP			1.360000000000000e-011	EST	25	6.361999999999998e-002	25	454	
fi{Qa@AJrtXJpLadTRTtRTTtRVLMNZ\fl@PuATCEQ@@@	SRC001-17-7				1.810000000000000e+000	EXP								454	
eh\^F@@D@jmkg`PKGNaclbbbbbRTRbjRTTqbNLRjV^~ZhJ`Z@`fB`H@@@	002410-93-7				-2.730000000000000e+000	EST								455	
eg`ZND@LALakmKGO@jn`@`xHrQQJIIIJZJqQJEKD\TL[GUUUSSMLuLuLA@e@	063527-52-6				6.400000000000000e-001	EST								455	
eh\\J@@MGO@AEmoldTRRbJRbRVTRRTrQxTbRfNhHJJfjhHJJhP@@	102152-24-9				2.060000000000000e+000	EXP			1.610000000000000e-018	EST	25	2.437000000000000e+002	25	455	
ehTXF@@A@DHdmclbbTRbfrbTTQRvtrdTLjzZfjj`fHaiji@HNh	103890-78-4				5.200000000000000e+000	EXP			2.160000000000000e-010	EST	25	5.073000000000001e-001	25	455	
