molecule,number,FDA,approved,name,mz,smiles,mw,alogp,hba,hbd,psa,rotb,arom,alerts,qed,pains,fsp3,cacao,half,life,logs,logd,bioconcen,igc50,lc50fm,lc50dm,npscore,chelator,Nr-ar,Nr-ar-lbd,Nr-ahr,Nr-aromatase,Nr-er,Nr-er-lbd,Nr-ppar-gamma,Sr-are,Sr-atad5,Sr-hse,Sr-mmp,Sr-p53,herg,herg
,,351.1741,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,359.1469,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,360.1522,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,361.1436,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,362.1451,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,363.1469,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,367.1905,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,369.1315,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,370.1348,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,371.1301,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,373.1588,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,379.155,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,380.1575,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,381.1491,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,382.1509,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
,,387.1425,,444.515,3.4691,5,2,74.6,2,0,0,0.6823854736,,,,0,0.727,-5.094,,,,,,,,,1.551,0,1,1,0.2,0.8,0.4,0,0,0,0,0,0.6,0.2,0.32,0.426
