Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
fns`p@H`QRVRyEDiEiMMLhhTFJRuZuUUSUTuUTpfIRmDh@	325.35962	Monocrotalin	LD50(rat) p.o.<NL>LD50(mouse, male) p.o.<NL>LD50(mouse, female) p.o.	71 mg/kg<NL>166 mg/kg<NL>170 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Crotalaria species	
eohPC@@@DNCOLbjnekglbbTtRVfTTrQTRbrdtBbvNZ``bjjjjjjJdTUb\`RbSRFVrNP@	446.40344	Monotropitoside; (Gaultherine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Gaultheria procumbens	
fjsa`@L`x[IEEEDhidhobTdzp_QSf`jBjJjhZhaTSHjQ`@	285.34186	Morphine	LD(human, adult) p.o.<NL>LD(human, adult) par.	300-400 mg/kg<NL>100-200 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Mutagen; Reproductive-Effector	
e`TXA@@K`DFMKLaclbfbbbTTItTTRfrQdaeTvqsPQECTDEQUTD@@@	445.46637	Narceine	LD50(mouse) i.v.<NL>LDLo(dog) i.v.<NL>LDLo(cat) i.v.	2 g/kg<NL>2200mg/kg<NL>800 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Papaver somniferum	
egdXN@@M@DAGFeklbbTRbTRfbfvbJaQCBgfUPvqusTEAUEATEEQD`PnD@@	413.42462	Narcotine; (Noscapine; Opianine; Gnoscopine)	LD50(mouse) i.v.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.<NL>LDLo(dog) i.v.	83 mg/kg<NL>2784 mg/kg<NL>491 mg/kg<NL>73 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTCES	Origin: Papaver somniferum; Cordialis cava	
ef]PA@@@DKEcolR\bbVTTbTUfRdrvRbTTrqEDag`VQPtpLKTuUUUUUUUUUUUUXpnEIGHDddTielkh|`YC@@	534.68726	Neriifolin	LD50(cat) i.v.	590 mcg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Thevetia peruviana	
dcm@@@{IDeCEDUSh@UUECP@	162.23515	(-)-Nicotin	LD50(rat) p.o.<NL>LD50(rat) i.v.<NL>LDLo(man) unreported<NL>LDLo(human) skn<NL>LDLo(human) p.o.<NL>LDLo(human) ihl	55 mg/kg<NL>1.0 mg/kg<NL>882 mcg/kg<NL>0.42 mg/kg<NL>0.029 mg/kg<NL>0.014 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Nicotiana tabacum<NL>Mutagen; Reproductive-Effector	
dcm@@@yJUnyIit@bZa@@	158.2034	beta-Nicotyrine	LD50(mouse) i.p.	191 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Nicotiana tabacum	
dk}@@@iJUmUR[atpBJ@@@@	168.19852	Norharmane; (beta-Carboline)	LD50(mouse) i.v.	100 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Mutagen; Reproductive-Effector	
deMH@NDDifWrjDYjjjjJHbqT`@	140.18529	Norloline						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Lolium temulentum	
dev@@@RieUazZjjj@@	139.24098	Norlupinane; (Chinolizidine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1		
dmM@@@{IDeCDbjU@Bjbaf@@	148.20828	Nornicotine	LD(rat) i.p.<NL>LD(rabbit) i.v.<NL>LDLo(rat) i.p.<NL>LD50(rat) s.c.<NL>LD50(mouse) i.v.<NL>LD50(mouse) i.p.	23.5 mg/kg<NL>3 mg/kg<NL>23.5 mg/kg<NL>23.5 mg/kg<NL>3.4 mg/kg<NL>14.66 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Nicotiana tabacum<NL>Mutagen	
fli@`@@IRYU]UUVjjYnyjDIceJ|`	258.35968	Oenanthotoxin	LD50(rat) i.p.<NL>LD50(mouse) i.p.	2.94 mg/kg<NL>2.94 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Oenanthe crocata	
eiWPI@@@DCGBg`V^\bbVTTbbbqfbQdrvRbRbVHhdlBRzFNnqIZfjjjjfjjjjjjjjkFEpaIIOHdfdLke|dUcBX@@	576.7241	Oleandrine; (Folinerin; Corrigenin; Neriolin)	LD50(cat) i.v.<NL>LDLo(frog) s.c.	0.30 mg/kg<NL>2.25 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Nerium oleander	
ehZPL@@@D@\bfdTRTQTTReVdrtfdLTl|rzFNnZjjfjjjjjjjjaLDPcIyLhtai\`@	456.70813	Oleanolic acid; (Oleanol; Caryophyllin)	LD50(rat) i.p.<NL>LD50(rat) p.o.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.p.	>2 g/kg<NL>>2 g/kg<NL>>2 g/kg<NL>1.5 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Olea europaea; Viscum album	
ek\tF@@Dc`NMOES\dTTTTTRTRbRvRrebRRLVRQdBljRFNAIyEUeuh@`hJJhjjhJ`@BHJHPTST@@	608.7326	Oxyacanthine	LD50(mouse) i.p.<NL>LDLo(rat) i.p.	50 mg/kg<NL>250 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Berberis vulgaris	
ff}p`@D\bANQQIJIQIQ[QDsheZjjjjjj[EDj^`@	309.45215	Palustrine; (Equisetine)	LD50(mouse) s.c.	1 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Equisetum palustre	
fi{`P@C@hWjTwJns|k[|dYvZtDD@Q@DU@@@@	339.38974	Papaverine	LD50(rat) p.o.<NL>LD50(mouse) s.c.<NL>LD50(rat) i.p.<NL>LD50(rat) s.c.<NL>LD50(rat) i.v.<NL>LDLo(dog) s.c.<NL>LDLo(cat) s.c.	325 mg/kg<NL>170 mg/kg<NL>59.6 mg/kg<NL>151 mg/kg<NL>13.3 mg/kg<NL>120 mg/kg<NL>120 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Opium	
daDD@@QIeZfZfjBP@	112.12752	Parasorbic acid	LD50(mouse) i.p.<NL>LD50(mouse) i.v.	250 mg/kg<NL>195 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Sorbus aucuparia<NL>Tumorigen	
few@p@@Lueo\bbbdjTbfTrbJaNF]DiZmMUUSUUUUTKByIHtm@rJK@@	364.4363	Phorbol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Croton tiglium; Codiaeum variegatum pictum, Euphorbia species<NL>Mutagen<NL>Tumorigen<NL>Reproductive-Effector<NL>Primary-Irritant	
fbmp`@LFbAFQQISISJQIFRcVbej`@jjjJQjV`@	275.35074	Physostigmine; (Eserine)	LD50(mouse) p.o.<NL>LDLo(man) unreported>NL>LD50(rabbit) s.c.<NL>LD50(rabbit) i.v.<NL>LD50(rat). i.p.	4.5 mg/kg<NL>882 mcg/kg<NL>3 mg/kg<NL>500 mcg/kg<NL>2 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Hippomane mancinella; Physostigma venenosum<NL>Reproductive-Effector	
efUPN@@@DBjlRZ\bbTfVfbbTbfTZtfVdRTfgbTSRvwpKUUUMUTuUUUUUUVfBDfdlTTZdrvct~`J@@	532.71515	Phytolaccagenin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Phytolacca americana	
fjs@p@@HhYr\bbTbtRbaQTHrgIZm{pVjjjjjVjhVDRLWDIRUey@@	292.28604	Picrotoxinin	LDLo(human) p.o.<NL>LD50(rat) i.p.<NL>LD50(rat) i.v.<NL>LDLo(dog) s.c.<NL>LDLo(cat) p.o.<NL>LDLo(cat) s.c.<NL>LD50(mouse) i.p.	357 mcg/kg<NL>1.99 mg/kg<NL>1.6 mg/kg<NL>1.5 mg/kg<NL>1.75 mg/kg<NL>2 mg/kg<NL>9.2 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Anamirta cocculus<NL>Reproducive-Effector	
ffkAp@@HhYr\yEDiEheEBbiBLirVk^|EjjjjjfjjaXQHq\PeIVWd@	310.30093	Picrotin	LD50(mouse) i.p.	135 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Anamirta cocculus	
foAP`@EN@aIem^YIPsfjjijeFEQ@@	208.26004	Pilocarpine; (Almocarpine)	LD(human) p.o.<NL>LDLo(man) unreported<NL>LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LD50(rat) s.c.<NL>LD50(rat) i.v.	~60 mg/kg<NL>1912 mcg/kg<NL>320 mg/kg<NL>166 mg/kg<NL>366 mg/kg<NL>88.5 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Pilocarpus jaborandi; Pilocarpus species	
fj}Q`@KY@`RSK[OLkJR`RqruUUAHUDNLJbY@@	286.32993	Pilosine; (Isopilosine; Carpiline; Carpidine)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Pilocarpus jaborandi	
det@@DjVvkfyjjjdQ\`@	136.23705	alpha-Pinene						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1		
det@@DjyZkfyjjjdQ\`@	136.23705	beta-Pinene; (Nopinene; Pseudopinene)	LD50(rat) p.o.	4700 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Primary-Irritant	
gFx@@eJfuU@@	85.14934	Piperidine	LD50(rat) p.o.<NL>LD50(rabbit) p.o.<NL>LD50(rabbit) skn<NL>LDLo(rabbit) skn<NL>LD50(mouse) p.o.	50 mg/kg<NL>145 mg/kg<NL>276 mg/kg<NL>0.005 mL/kg/24H<NL>30 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Piper nigrum L.<NL>Mutagen; Primary-Irritant; Reproductive-Effector	
dmtH@@RYYf[ffjjcD@	152.23604	alpha-Piperitone; ((+)-Piperitone)	LD50(rat) p.o.	24.5 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Mentha species<NL>Primary-Irritant	
dmtH@@RYYf[ffjjcH@	152.23604	l-Piperitone; ((-)-Piperitone)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Mentha species	
dg|L@@t|bbbbbJcBmm@tCD@@	188.18152	Plumbagin	LD50(mouse) i.p.<NL>LD50(mouse) p.o.<NL>LD50(rat) p.o.<NL>LD50(mouse) i.v.	5 mg/kg<NL>16 mg/kg<NL>65 mg/kg<NL>79.9 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Plumbago europea; Plumbago zeylanica L.<NL>Mutagen; Reproductive-Effector	
egdPA@@@DGBjnamlbbTtRbbRRrTRRRiCDb`VRSPtsUUPA@AQUUTDQ`jHpiD@@	414.4087	Podophyllotoxin	LD50(rat) i.v.<NL>LD50(rat) i.p.<NL>LD50(mouse) p.o.<NL>LDLo(mouse) s.c.	8.7 mg/kg<NL>15 mg/kg<NL>100 mg/kg<NL>24.6 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Podophyllum peltatum	
do|L@@KTfYe}uiZejfj@@	208.25604	Primin (2-Methoxy-6-n-p-benzochinon)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Primula obconica	
ef]PA@@@DGMk`RZ\bbRrbdRblrTfVrTRbfUCBe`TQUTrtJKTmUUUUUMUUUUUTYpaDiOIDldlcd|oeCDX@@	530.65546	Proscillaridin A	LD50(cat) i.v.<NL>LD50(cat) p.o.<NL>LD50(mouse) p.o.<NL>LD50(mouse) i.v.	0.138 mg/kg<NL>0.738 mg/kg<NL>30.5 mg/kg<NL>4.7 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Urginea maritima	
gOp`@dfUMZe`@	96.08476	Protanemin; (Siomycin)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Anemone-; Ranunculus-; Clematis-; Helleborus-species	
feoaP@L`\fl|bbbTRbRTRRTnTcAsEjRcftDPAQETUDT@@	353.37286	Protopine; (Fumarine; Macleyine; Biflorine)	LDLo(rat) i.p.<NL>LD50(mouse) i.v.<NL>LD50(guinea pig) p.o.<NL>LD50(guinea pig) i.p.<NL>LD50(mouse) i.p.	100 mg/kg<NL>31 mg/kg<NL>237 mg/kg<NL>116 mg/kg<NL>482 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Papaver somniferum; Fumaria officinalis; Chelidonium majus	
eawxG@@EPDJMCJemghZQ][\bbTbftbvfbTRrTRbtTLRRLtbtvVS`W`RSWPrNJki[[UUUUUUUUUMUSUSUUUUUUYXPaBJq^HIQQJMKiCHzWQFXjUFqvEh@	793.9442	Protoveratrine A	LD50(rat) s.c.<NL>LD50(rabbit) s.c.<NL>LD50(rabbit) i.v.<NL>LD50(mouse) i.v.<NL>LD50(mouse) i.p.	0.48 mg/kg<NL>0.25 mg/kg<NL>0.235 mg/kg<NL>0.031 mg/kg<NL>0.2 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Veratrum album	
eixO@@MPDJECKFmcodVYSW\bbTbffdQttRbVRbTVbabRQfdVfrr|bBbrzFfqIu}k{ZjjjjjjjjjZjfjfjjjjjjJpaBXPb\PRbRTrgRFTrnctqaJUUl}eZ@@	809.94324	Protovaretrine B; (Neoprotoveratrine)	LD50(rabbit) p.o.<NL>LD50(rat) s.c.<NL>LD50(mouse) i.v.<NL>LD50(rabbit) s.c.<NL>LD50(rabbit) i.v.	0.1 mg/kg<NL>0.92 mg/kg<NL>0.065 mg/kg<NL>0.17 mg/kg<NL>0.04 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Veratrum album	
ej]XI@@C`LIHdbfekldTbdtRbbIbQffRtbvRhXTLt|\BzFN^QqjjjjjjjjjjjjjjhhD`bIPfEpmDxoHDliUNhLmd}DT@@	525.6364	Protoverine	LD50(mouse) s.c.	520 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS		
fjm`p@O@pIVgYHhheDeLUBeRVRuUUUU`ACHQDHjKdd`@	295.28998	Prunasine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Prunus laurocerasus; Prunus species	
fgAA`@@HtdrmjkQdeFluH@UP`@@	186.16563	Psoralen						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Coronilla varia; Psoralea corylifolia; Citrus species<NL>mutagen	
dmtH@@RYeeZVfjjah@	152.23604	Pulegon	LDLo(rat) i.v.<NL>LDLo(dog) i.v.	400 mg/kg<NL>330 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Hedemona pulegioides; Mentha pulegium<NL>Tumorigen	
fasA`@@RmdTTRRrRbttQTHpLVfjffZjZkCHzQTIH	328.45032	Pyrethrin I	LD50(rat) p.o.<NL>LDLo(rat) i.v.<NL>LD50(rat) i.v.	1.2 g/kg<NL>5 mg/kg<NL>2 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Chrysanthemum cinerariifolium	
fmgAP@@RlN^QQQIKIJKSQEQPdXFKSUSSMUMMUad]HiDdl@	372.45932	Pyrethrin II	LD50(rat) p.o.<NL>LDLo(man) unreported<NL>LD50(mouse) p.o.<NL>LD50(rat) p.o.	1.2 g/kg<NL>1029 mg/kg<NL>130 mg/kg<NL>200 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Chrysanthemum cinerariifolium	
fc@p@@D|Un|bbbdRTQTTebVRoEVbfoUmSUUTuTuTuWLIdxeHtcDh@	388.4583	Quassine; (Nigakilactone D)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Quassia amara; Ailanthus altissima; Simaba cedron	
ffcAp@@DEiNZyEEEMDihbdiVBMzIViBb@@hh@@@	302.2374	Quercetin; (Pentahydroxyflavon; Sophoretin; Meletin; Ericin)	LD50(mouse) p.o.<NL>LD50(mouse) i.v.<NL>LD50(rabbit) i.v.<NL>LD50(rat) p.o.	160 mg/kg<NL>18 mg/kg<NL>100 mg/kg<NL>161 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Tumorigen; Mutagen; Reproductive-effector	
fle@H@@HyHpXiRYWVV[TeKNZfjjjjiaDIJViYNP@	276.24005	Ranunculin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Ranunculus species	
ej]TA@@GD`DImgd\R\bbtTbbbfbRLNQTRbfRdtL\|b|RRZJz~AZjjhFjAbjjjjjhcBEPfDhmExfdlce]OdBhBd	512.55707	Raucaffricine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Rauvolfia confertiflora	
feoQ`@GQ@cbSK\vnkJzlmV\gIZcfuUUUUST@UASBiFJRl`@	354.44843	Rauwolscine; (alpha-Yohimmbine; Corynanthidine; Isoyohimbine; Mesoyohimbine)	LDLo(mouse) p.o.	2.5 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Rauvolfia tetraphylla L.; Pausinystalia yohimba	
eg\tI@@NbPDIBjaeoc\bbRbTRbTRVbRbrRRrvaRRRv`VTwQrMKOJnkTuUAU@uQUUUSPATTCADXRdt`RNTAD@	634.72345	Rescinnamine; (Moderil)	LD50(mouse) p.o.<NL>LDLo(guinea pig) i.v.<NL>LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LD50(mouse) s.c.<NL>LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LD50(rat) s.c.	1420 mg/kg<NL>35 mg/kg<NL>56 mg/kg<NL>65 mg/kg<NL>263 mg/kg<NL>1 g/kg<NL>250 mg/kg<NL>540 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Rauvolfia serpentina; Rauvolfia species<NL>Reproductive-effector	
ecXtI@@MdPDMG@faie\bbTTRTRbRbRVbVJQRfRRRrgefVstNIMHlkTEAUEUUMUUTt@TU@pQNDYKIdgd@@	608.6856	Reserpine; (Serfine; Serpasil)	LD50(dog) i.v.<NL>LD50(rat) i.v.<NL>LD50(rabbit) i.v.<NL>LD50(guinea pig) s.c.<NL>LDLo(guinea pig) i.v.<NL>LD50(mouse) i.p.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.<NL>LD50(rat) s.c.	500 mcg/kg<NL>15 mg/kg<NL>15mg/kg<NL>65 mg/kg<NL>16 mg/kg<NL>5 mg/kg<NL>>50 mg/kg<NL>5.61 mg/kg<NL>25 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Rauvolfia serpentina; Rauvolfia species<NL>Tumorigen; Mutagen; Reproductive-effector	
ec`TB@@GH`DNEdfVvUUvUuWDTL\RrJjFfZfjjjij@Jj@aaBQS`q@@	382.45844	Reserpinine; (Raubasinin; Pubescine)	LD50(mouse) p.o.<NL>LDLo(guinea pig) i.v.<NL>LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LD50(mouse) s.c.<NL>LD50(rat) p.o.<NL>LD50(rat) i.p.<NL>LD50(rat) s.c.	1420 mg/kg<NL>35 mg/kg<NL>56 mg/kg<NL>65 mg/kg<NL>263 mg/kg<NL>1 g/kg<NL>250 mg/kg<NL>540 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Rauvolfia serpentina; Rauvolfia species<NL>Reproductive-effector	
dmND@BA\bbbReInFjjZiHbH@	155.19621	Retronecin	LD50(mouse) i.v.<NL>LD50(rat) i.v.	634 mg/kg<NL>1311 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Senecio-; Cotalaria species; Boraginaceae	
fi{`p@M@QeoQyEDhhdhmDiiKejpXeZuMUUUMUMTPdxeIt`Q@	351.3975	Retrorsin; (beta-Longilobine)	LD50(mouse) i.p.<NL>LD50(rat) p.o.	65 mg/kg<NL>34 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Senecio species; Crotalaria species<NL>Tumorigen; Mutagen	
echXF@@C@LGNieldTTRbbrbbTRRwS@geTVRPsWRvuUT@QAEEETQVDBPSD@@	383.39874	Rhoeadine	LD50(rat) i.v.	530 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Papaver rhoeas	
ebypL`@@BICGBamgo`XZ^][_T||bbbbTRbfbJbRTrrVTvTTTrTQfsDebUTwQsLkh[TaTQPEPUQUUUUUUUTQW`b|VTjTtnRJqQJY`jeaj]`\@@	740.6616	Robinin						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Robinia pseudoacacia<NL>Mutagen	
ekhPF@@@A@lfadfYfV^yw]V^AEGK@djlbf`j@HhJJijHlLEqBd@@	394.4217	Rotenone	LD50(rat) p.o.<NL>LD50(rat) i.v.<NL>LD50(human) unreported<NL>LDLo(guinea pig) p.o.<NL>LDLo(guinea pig) s.c.<NL>LDLo(guinea pig) i.p.	132 mg/kg<NL>6 mg/kg<NL>0.294 g/kg<NL>75 mg/kg<NL>16 mg/kg<NL>2 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Derris elliptica; Piscidia erythrina<NL>Tumorigen; Mutagen; Reproductive-effector; Primary-irritant	
