Structure [idcode]	MW	name	activity	activity_value	mode_of_action	receptor	receptor_class	reference	remarks	
eglXD@@L@KldTbbRRQbRtJTfVqCBefabVSWVquUUUUUUUUUUUFPIADIaZHqVHJYJi]Py@@	415.6593	Tomatidine						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1		
gaLVAT@@DHC@HTZGBSi|QXbRhtfKSeqy}~rQQQJIJYYZJYQQJIJEJIHjJJZYJJIKYXzFYKTIDPhLN[@PiujCUmsX\~@tVMUUUUUUUUUUUUUUUUUUUUUUUUUUWrADDHJaNBdKp`drHhfdFJXcb^HEJRYKeITuJtgRCJlfrGS\kt@ib`@	1034.1951	Tomatine; (Lycopersicine)	LD50(mouse) i.p.<NL>LD50(mouse) p.o.<NL>LD50(mouse) s.c.	25 mg/kg<NL>500 mg/kg<NL>1000 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Lycopersicon lycopersicum<NL>Mutagen	
eo\tFDDJmdICN][PHbBH`{Z\@tTTTRbRVVTrRTLTbbRLRljtB\RjFqYiUyUeMh@``bJjjhJ`B`HhJHPbgT@@	681.6545	Tubocurarine chloride						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Curare; Chondrodendron tomentosum Ruiz et Pav.	
gOp`@dfVKZf`@	98.10064	Tulipaline A						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Tulipa gesneriana	
fly@H@@DEHpXiRYevv[VsfijjjjjgDiZedy@@	278.25592	Tuliposid B						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Tulipa gesneriana	
ehZPL@@@D@\bfdTRTTJbraVdrtfdLTlBrzFNnZjjfjjjjjjjjeLDPaDYKHELhtai\`@	456.70813	Ursolic acid; (Ursone; Malol; Prunol)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Catalpa bignioides; Empetrum nigrum; Ilex aquifolium	
fn}@`@@DRYfUUUUXJBBJjiij@H|i`	316.4831	Urushiol						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Toxicodendron quercifolium	
fi{Ap@@RuxK^yEEEHhhhoDXeiqSoIrtuULE@ULqCD@@	344.31805	(+)-Usninic acid	LD50(mouse) p.o.	838 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Usnea barbata<NL>Reproductive-effector	
fi{Ap@@RuxK^yEEEHhhhoDXeiqSoIrtuULE@ULqCB@@	344.31805	(-)-Usninic acid						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Usnea barbata	
fm@P@@HloHheeEHeEYdiLmbTd[p\eGMjZjjjjjjjjDq\ThzARTVSP@	374.51895	Uzarigenin; (Odorigenin)	LDLo(cat) i.v.	1.379 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Xysmalobium undulatum; Nerium oleander; Mallotus paniculatus	
e`~xM@@NPDMCOJkobZQ\bbTTRTbTvfRbVRlTvbTQdVrR`SbTRSTvqtJOLmkkTEAUQUUUUUUUUUUEUTxPnEXhddfilchCHXcFUKKT@@	673.79694	Veratridine	LD50(mouse) i.p.	1.35 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Schoenocaulon officinale; Veratrum album	
fmw@h@@ZMYtRcfoHhheDeDcmDhidjLeZkVjiijjjjjjdaTcIJARUfUST@	388.36755	Verbenalin; (Verenaloside; Cornin)	LD(mouse) p.o.<NL>LD(mouse) i.p.	>3 g/kg<NL>>3 g/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Verbena officinalis L.	
fjmIp@D\DhEMNSdnQQJJIFYQSILyxKSMUUUUURRLkSrB`@	304.25803	Vicine; (Vicioside)						Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1	Origin: Vicia faba; Vicia sativa L.; Fabaceae	
gmvDaH@@EFrxJ@HKAHtfsEivQQJSQQJIJJIIIIYRIYQIQORIRqKYV^F`RHlvGLUqyBQBeTitFkMUPSPUUDEUTEUUUUSUTpUELcACDzPyGd~SeIR]P@@	810.98553	Vinblastine	LD50(mouse) i.v.<NL>LD50(rat) i.v.<NL>LD50(mouse) i.p.	17 mg/kg<NL>2 mg/kg<NL>2.4 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Catharanthus roseus<NL>Tumorigen; Mutagen; Primary-irritant; Reproductive-effector	
gcqD`h@@EFrxJ@HKAHuZsEjr{HheIhheDeEDdddliDlhdhfeHeGDmeYxZAHbsX\qWGdIDJURoTYluUAMAUTPUUPUUUMUSUTpUELcACBzPyGd~SeIR}P@@	824.9686	Vincristine; (Leurocristine)	LD50(mouse) i.v.<NL>LD50(mouse) i.p.<NL>LD(mouse) i.p.<NL>LD50(rat) i.p.	2 mg/kg<NL>5.2 mg/kg<NL>7 mg/kg<NL>1.25 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Catharanthus roseus<NL>Tumorigen; Mutagen; Primary-irritant; Reproductive-effector	
fakAP@@LUEJSLsOKsNQcluzuLaT@LAD@HL`	322.31516	Vulpinic acid	LD50(mouse) i.p.<NL>LD50(mouse) i.v.<NL>LDLo(rat) p.o.	75 mg/kg<NL>180 mg/kg<NL>500 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Letharia vulpina	
f`i@P@@HD[HhdihdhUSbkN|uHPTUB@@	216.19151	Xanthotoxine; (8-MOP; Ammoidine; 8-Methoxypsoralen)	LD50(rat) i.p.<NL>LD50(guinea pig) p.o.<NL>LD50(rat) s.c.<NL>LD50(mouse) s.c.	470 mg/kg<NL>505 mg/kg<NL>1880 mg/kg<NL>860 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Angelica archangelica; Heracleum sphondylium<NL>Tumoigen; Mutagen; Reproductive-effector	
foQ@P@@HEiIe[gmiqQkNZdHHjD@@	202.16464	Xanthotoxol	LD50(rat) p.o.<NL>LD50(mouse) i.p.	480 mg/kg<NL>468 mg/kg				Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Angelica archangelica; Apiaceae	
feoQ`@GQ@cbSK\vnkJzlmV\gIZcfuUUUUST@UASDiFJTl`@	354.44843	Yohimbine; (Aphrodine; Corynine; Quebrachine)	LD50(mouse) p.o.<NL>LD50(mouse) i.p.<NL>LD50(mouse) s.c.<NL>LDLo(rabbit) s.c.<NL>LDLo(rabbit) i.v.	43 mg/kg<NL>16 mg/kg<NL>37 mg/kg<NL>50 mg/kg<NL>11 mg/kg	blocks presynaptic alpha-2-receptors without touching the postsynaptic vascularic alpha-1-receptors			Roth, Daunderer, Kormann; Giftpflanzen Pflanzengifte, 4. Überarbeitete Aufl.; Nikol; München; 1994; ISBN 978-3-933203-31-1<NL>RTECS	Origin: Pausinystalia yohimba; Rauvolfia serpentina<NL>Reproductive-effector	
